make,model,year,price,mileage,fuel_type,transmission,description,image_url,body_type,vehicle_id
Toyota,Corolla Xli,2007,1895000,346000,Petrol,Manual,"Alloy rim 
new tyre
chat bunnet degi in genion paint
sides p touching
Engine 100%
ac heater 100%
apny engine m ha or pack ha
M boofer and android installed
gear hisa 100%
No work required gaurenty",https://images.olx.com.pk/thumbnails/413526820-800x600.jpeg,None,kaggle_11
Suzuki,Baleno,2004,930000,140000,Petrol,Manual,"Suzuki Baleno sports Addition
Model. 2004
Cool Bach color 
2nd owner
Just Minor TouchUp 80% original
Original milage only 1,40,00,0 drive on patrol 
One powerful engine and soundless 10/10 
Smooth suspension 10/10 
Original Company rims new Tyler's
Fuel only patrol average Masha Allah 15 with Ac on the highway
Power Window
Power staring Smooth
Power looks 
Ac child 
New site's covers install
LCD and speakers VIP music system
Drive like new car 
all dacomints are clear
Cplc 10/10 
number plats 10/10 
tikly original 10/10
No any minor work request
Just by an drive smooth car 
Note 8,70 already offer available serious Bayer can contact and more video pics available on WhatsApp  ",https://images.olx.com.pk/thumbnails/413599870-800x600.jpeg,None,kaggle_12
Honda,City Vario,2006,1670000,80000,Petrol,Automatic,"ہونڈا سٹی 2006 auto  اے سی ہیٹر اوکے پٹرول ایوریج 15/16 سندھ نمبر تمام ڈاکومنٹس کلئیر ٹوکن لائف ٹائم گاڑی اکسیڈنٹ نئی ھے انجن سو فیصد اوکے گارنٹی
 فریش لک کے لئے باہر سے شاور اندر جینئین 
 ٹائر 10/9 
گاڑی ہر لحاظ سے بالکل اوکے",https://images.olx.com.pk/thumbnails/411059723-800x600.jpeg,None,kaggle_13
Daihatsu,Move,2021,3499000,6500,Petrol,Automatic,"Dhaihatsu Move 
Model 2021
import September 2023
push start
climate control
Alloy Rims. 
Radar,
seat heater
and many more
Total genuine
original milage
will be sold on nearest offer",https://images.olx.com.pk/thumbnails/411623565-800x600.jpeg,None,kaggle_14
Daihatsu,Terios Kid,2004,1425000,123123,Petrol,Automatic,"good condition
non accidentally
alloy wheels
original file with smart card
bio matric available
engine is normal condition
family usage car
new battery install",https://images.olx.com.pk/thumbnails/401102253-800x600.jpeg,None,kaggle_15
Daihatsu,Move,2013,2150000,73000,Petrol,Automatic,"Move custom full option,
2013 model 2017 registered,
Engine suspension perfect,
non-accidental seal are ok,
few paint touchups in sides rest original. 
car can be seen in dha Lahore phase 1.",https://images.olx.com.pk/thumbnails/410879457-800x600.jpeg,None,kaggle_16
Honda,Civic Prosmetic,2007,1670000,160000,Petrol,Automatic,"Honda reborn prismatic
Model 2007
Chat bonet diggi original
Led back camera alloy wheels fog light sports body kit lagi hoi hai
Ac engine & suspension 100% ok
Gari main 1 rupay ka bhi kam nahi. 
Location sadiqabad 
just buye and drive",https://images.olx.com.pk/thumbnails/381524410-800x600.jpeg,None,kaggle_17
Suzuki,Cultus Vxr,2006,900000,80000,Petrol,Manual,suzuki cultus 2006 model Lahore registered. my own name biometric available. all documents clear smart card. old book available. lifetime token update. out side little shower inside totally original seal by seal. Ac Heather working. power steering. front suspension engine gear shokes original. all is best. seat is very good. new battery install 60 amr. Led panel 10 inch install. Center locking. Back camera install. allow rims .  tires 70 persent. only bay and drive. not have any work. Petrol average 15/17. whatsaap ,https://images.olx.com.pk/thumbnails/414662361-800x600.jpeg,None,kaggle_18
Daihatsu,Mira,2011,660000,115000,Petrol,Automatic,brand new car just buy n drive fully fresh car not a single work required chill ac    engine suspension gear   100 percent ok,https://images.olx.com.pk/thumbnails/415264237-800x600.jpeg,None,kaggle_19
Honda,City Ivtec,2023,3400000,112076,Petrol,Manual,2500 cc Honda civic vti-oriel 1.8 power,https://images.olx.com.pk/thumbnails/413024099-800x600.jpeg,None,kaggle_20
Toyota,Corolla Xli,2008,1920000,100000,Cng,Manual,"Toyota Xli
Model 2008
Registration Lahore
Biometric available
All documents available
All token taxes paid
Condition:-
Roof
Trunk
Piller
Bonet is in genuine condition
Non accidental",https://images.olx.com.pk/thumbnails/413760846-800x600.jpeg,None,kaggle_21
Suzuki,Wagon R,2014,1600000,125000,Petrol,Manual,"Wogan R 2014 VXL Very well maintained Excellent condition 100%

 non accident",https://images.olx.com.pk/thumbnails/414450233-800x600.jpeg,None,kaggle_22
Hyundai,Santro,2007,890000,84298,Petrol,Manual,گاڑی ایسے کہ بلکل نئی کڈیشن,https://images.olx.com.pk/thumbnails/411700378-800x600.jpeg,None,kaggle_23
Toyota,Corrolla Altis,2019,4475000,49000,Petrol,Automatic,"*TOYOTA COROLLA ALTIS 1.6 AUTOMATIC TRANSMISSION*
MODEL:2019
BUMPER TU BUMPER ORIGINAL 
DEMAND:4,475,000
FIRST OWNER CAR 
GLASS COTING

Through out maintain from Toyota Low mileage Petrol driven TV navigation back view camera Excellent condition hids EXTRA ORDINARY CONDITION  smells like brand new car CRYSTAL clear documents tax upto date  Original manual books each and every thing available yet thorough out maintain car!! Visiting place Karachi.",https://images.olx.com.pk/thumbnails/414272794-800x600.jpeg,None,kaggle_24
Suzuki,Cultus Vxr,2009,1050000,52000,Petrol,Manual,"chat diigi pillar geniun
inside total geniun
outar shower for fresh look
non accidental 
tyre 100 percent 
engine 100 percent 
just buy and drive
price is negotiable 
contact no ",https://images.olx.com.pk/thumbnails/414081619-800x600.jpeg,None,kaggle_25
Honda,City Aspire,2021,4199000,75000,Petrol,Automatic,"Honda city aspire
model 2021
condition 10/10
colour black
1500cc
bumber to bumber genuine
only serious buyers
price final hai",https://images.olx.com.pk/thumbnails/414566040-800x600.jpeg,None,kaggle_26
Suzuki,Mehran Vxr,2009,620000,96000,Petrol,Manual,"petrol , ac genuine non accidental",https://images.olx.com.pk/thumbnails/413994543-800x600.jpeg,None,kaggle_27
Daihatsu,Cuore,2006,1000000,100000,Petrol,Manual,Phone Number ,https://images.olx.com.pk/thumbnails/412654936-800x600.jpeg,None,kaggle_28
Honda,Civic Prosmetic,2009,1825000,105700,Petrol,Automatic,"Honda Civic Reborn 2009 Automatic black color. 
Hard top
Alloy Rims 17"" with low profile tyres. 
neat and clean car. 
all original, no touchups. 
 no foolish offers please. 
Call if you want to visit or else message on watsapp better to avoid time wasting for  both of us please. 
PLEASE DO NOT COMPARE RATES WITH OTHERS 
THANKS",https://images.olx.com.pk/thumbnails/414067705-800x600.jpeg,None,kaggle_29
Mitsubishi,Pajero Mini,2007,1025000,100000,Petrol,Manual,"Mitsubishi Meni pajero 
* model 1997
* import 2007
* original docoments
* my name smart card
* original return file number plats
* vehicle all history available
* 1100 cc power full engine
* 6 speed gayer
* 4×4 working 
AC working
* 100% new Bridgestone original size tyre
* alyre rim original 5 japani 
* LCD back camera
* best feul average 1L 16/18
* original power windows 
* original center locking
* no accidental original condition Jeep 
* no work required buy and drive 
only series buyers contact me gadi dakh
kr offer Dan exchange possible ha achi car Suzuki mahran ya ravi k sath",https://images.olx.com.pk/thumbnails/409923101-800x600.jpeg,None,kaggle_30
Suzuki,Swift,2017,2100000,90000,Petrol,Manual,2017 swift in silver genuine engine call me at this no ,https://images.olx.com.pk/thumbnails/414147455-800x600.jpeg,None,kaggle_31
Toyota,Passo,2015,3090000,55600,Petrol,Automatic,"Toyota Passo 
Pearl White
2015/18
km 55600
non accidental
bumper to bumper original
used as 2nd car
chilled ac
climate control
abs 
air bag
dry battery 
used under government officer for office use

interested buyers contact, brokers and timewaster stayaway 

M Aslam",https://images.olx.com.pk/thumbnails/414474321-800x600.jpeg,None,kaggle_32
Honda,City Ivtec,2013,2650000,130000,Petrol,Automatic,"2013 city gun metallic total original sides slightly touchups due to scratches. 
more or less car is in family use brand new tyres transmission oil just changed engine perfectly fine. new seat covers. 
brand new android Led with back camera.",https://images.olx.com.pk/thumbnails/377264123-800x600.jpeg,None,kaggle_33
Honda,City Ivtec,2013,3100000,85000,Petrol,Manual,"Isb reg   civic reborn led panel installed. 
Manual. Sunroof",https://images.olx.com.pk/thumbnails/413270834-800x600.jpeg,None,kaggle_34
Kia,Picanto,2021,3000000,14600,Petrol,Automatic,"Kia Picanto Automatic,First owner, 14600 KMs Excellent Condition with all original fittings Lahore Regn with power steering n windows n as good as new.",https://images.olx.com.pk/thumbnails/414464668-800x600.jpeg,None,kaggle_35
Daihatsu,Cuore,2007,830000,100000,Petrol,Manual,selling coure 2007 model engine ok allow rims only need ac gas just buy and drive,https://images.olx.com.pk/thumbnails/411110559-800x600.jpeg,None,kaggle_36
Suzuki,Bolan,2015,950000,50000,Petrol,Manual,"all the parts are januane
non accidental
neet and clean 
no work required",https://images.olx.com.pk/thumbnails/409986882-800x600.jpeg,None,kaggle_37
Honda,City Aspire,2021,4500000,64000,Petrol,Automatic,bumper to bumper geniun. . engine condition is new. . . . . first hand used. . . original document. . . like new car. . buy and drive. . . interior and seats very good like new. . . . 46000 km only drive. . . . price negociable. . . contact. . . faisal on this number. . . . 0/3/0/0/4/7/2/6/0/0/5. . . . urgent sale. . . . .,https://images.olx.com.pk/thumbnails/411779319-800x600.jpeg,None,kaggle_38
Suzuki,Alto,2012,1165000,58600,Petrol,Manual,"Suzuki Alto vxr
2012 model
1st owner
Sealed own powerful Engine 
Though out petrol driver 
Cng never installed original petrol. 
Smooth soft drive 
Manual transmission Perfect gear shifting 
Ac chilled working condition 
Suspension 100%
Inside 100% Original Paint 
Seal by seal Genuine Inside 
Outside body 2 pis touch-up. 
All documents file complete 
Tak uptodate Dec 2023
Note. Family use car 
Price negotiable",https://images.olx.com.pk/thumbnails/414790132-800x600.jpeg,None,kaggle_39
Changan,Karvaan,2021,2250000,27000,Petrol,Manual,"Karwaan Plus Family used never use on transport purpose. 
never go outside karachi. 
27k Km driven. 

1st owner. 

CPLC cleared all file documents available. both keys available. 
Maintained by Changan dealership zero work required. 
100% ok just like a new car. 
Complete original file is available. 
Totally driven on petrol. 
In showroom condition. 
Never been into any accident. 
All taxes paid UpTo date.",https://images.olx.com.pk/thumbnails/413722099-800x600.jpeg,None,kaggle_40
Suzuki,Swift,2016,2225000,92900,Petrol,Manual,I want to sale my Suzuki swift mint condion just buy and drive,https://images.olx.com.pk/thumbnails/414778356-800x600.jpeg,None,kaggle_41
Suzuki,Ravi,2015,700000,65000,Petrol,Manual,cash ki jarurat hai isliye sel karni hai,https://images.olx.com.pk/thumbnails/404199394-800x600.jpeg,None,kaggle_42
Suzuki,Baleno,2005,1380000,109000,Petrol,Manual,Baleno 2005 model with Total Japanese Accessories Installed Lash condition Original Smart card My own Name No Any work required just buy and Drive only  sides showered for fresh look One Hand use Car . . . . Totally car looks sports car seal to seal genuine car please only serous person contact Thank you,https://images.olx.com.pk/thumbnails/414558777-800x600.jpeg,None,kaggle_43
Faw,X-Pv,2016,875000,156000,Petrol,Manual,"new condition dual ac fog lights (no work required) new tires no teaching
please serious people contact me ",https://images.olx.com.pk/thumbnails/406890401-800x600.jpeg,None,kaggle_44
Daihatsu,Mira,2013,2200000,60000,Petrol,Automatic,"Mira G smart Package
Colour Silver. 
Model 2013/2015. 
Mileage 60,000 km approx. 
Assembly changed. 
Few pieces touchup. 
Non Accidental Car 
powerful suspension. 
all features work properly. ALL DOCUMENTS cleared and available. 
HID Installed
Fog lights Installed
Android Panel Installed with 
rotating Back camera also featured
Car cover Available
recently Oil changed. After Market Alloy rims.",https://images.olx.com.pk/thumbnails/414522492-800x600.jpeg,None,kaggle_45
Toyota,Corolla Xli,2017,2720000,300000,Petrol,Manual,gari bilkul ok ha charoo tarf sy shower ha,https://images.olx.com.pk/thumbnails/413071894-800x600.jpeg,None,kaggle_46
Suzuki,Alto,2023,2900000,15000,Petrol,Automatic,"Alto VXL Ags for Sale
Model:2023
Milage:15000
Demand: 29Lakh
Location: Purani Lakar Mandi Okara
Total Genuine",https://images.olx.com.pk/thumbnails/414664399-800x600.jpeg,None,kaggle_47
Daihatsu,Mira,2011,2010000,82356,Petrol,Automatic,"Daihatsu Mira 2011/2015

Total Genuine 
Original Documents 
1st owner 
79000 km driven 
New tyres 
Mechanically fit car. 

Will be sold to nearest offer.",https://images.olx.com.pk/thumbnails/414969741-800x600.jpeg,None,kaggle_48
Suzuki,Bolan,2014,1130000,80000,Petrol,Manual,suzuki bolan 2014 model for sale condition all ok no any major accidents only some piece showered for fresh look inner genuine totallyy just buy and drive engine ok,https://images.olx.com.pk/thumbnails/405210869-800x600.jpeg,None,kaggle_49
Suzuki,Alto,2003,680000,90000,Petrol,Manual,"SUZUKI ALTO VXR 2003. LAST MONTH
FULLY ORIGINAL CONDITION. 
OWN POWERFUL ENGINE. 
CHILLED A/C. 
NO WORK REQUIRED.",https://images.olx.com.pk/thumbnails/414798674-800x600.jpeg,None,kaggle_50
Daihatsu,Hijet,2016,1850000,123456,Petrol,Automatic,"MODEL 2016/2022
IMPORT 2022
FISRT OWER
LCD INSTALL
BACK CAMERA INSTALL
SEAT COVERS INSTALL
FLOOR MEATING INSTALL
2 POWER",https://images.olx.com.pk/thumbnails/414386956-800x600.jpeg,None,kaggle_51
Daihatsu,Cuore,2010,830000,70000,Petrol,Manual,coure cx eco 2010 andr se puri original hain bhair se 50 percent orignal hain location latifabad unit 8,https://images.olx.com.pk/thumbnails/414528663-800x600.jpeg,None,kaggle_52
Mitsubishi,Ek Wagon,2013,2000000,83000,Petrol,Automatic,"*EK WAGON*
Make: MITSUBISHI
Model: 2013/2016
Package: KEY
Color: SILVER
Mileage: 83000
Condition: 3 PC TOUCHUP
Demand: 20",https://images.olx.com.pk/thumbnails/405456172-800x600.jpeg,None,kaggle_53
Suzuki,Swift,2022,4750000,13000,Petrol,Automatic,"Suzuki Swift 2022 Automatic Full Option Upgraded Bridgestone 205 European Tyres, High End Sporty look Seat Covers, Aloyrims, 1st Owner in Just Like Brand New Condition, only Serious Buyers contact no Brokers, Contact: ",https://images.olx.com.pk/thumbnails/413832526-800x600.jpeg,None,kaggle_54
Suzuki,Baleno,2004,900000,249000,Petrol,Manual,"Baleno 2004, Fit condition, Engine fit, Mechanically OK, AC & hear working, Petrol & CNG working, Smart Card Original Nmbr Plats complete Documents, my own name. . . . . . . . 
price slight flexible. . . . . . . .",https://images.olx.com.pk/thumbnails/413103576-800x600.jpeg,None,kaggle_55
Suzuki,Wagon R,2012,2100000,120000,Petrol,Automatic,"*Wagonr (Limited Edition)*
Fuel Average: 18 City + 20 Long 
Import : 2014 
Number : 2015 
Color : Pearl Black 
Mileage : 120,000 

*Condition*
Interior : 10/9 
Exterior: 10/8 
Seats : 10/10 
Tyres : 10/10 (newly installed) 
AC : 10/10 (Chill Cooling) 
Suspension : 10/9 

*Other features*
Push Start  
Smart Entry  
HID’S installed  
Super OLED Android  
Power windows  
Power Left Right mirrors  
Back View Camera  
ABS Breaks",https://images.olx.com.pk/thumbnails/413031273-800x600.jpeg,None,kaggle_56
Suzuki,Bolan,2007,850000,50000,Petrol,Manual,Carry for sale serious buyer check kra gari moka par or deal kra chaska party contact na kra,https://images.olx.com.pk/thumbnails/414671224-800x600.jpeg,None,kaggle_57
Toyota,Passo,2018,3750000,80000,Petrol,Automatic,Automatic car in good condition. Serious buyers only.,https://images.olx.com.pk/thumbnails/410983705-800x600.jpeg,None,kaggle_58
Toyota,Corolla Xli,2011,2070000,123456,Petrol,Manual,"Corolla Xli 2011. 
Crystal eye. 
Mechanical 100percent,
Outer 2 or 3 pieces geniuine rest showered,
Inner seal by seal total geniuine. 
New tyres with geniuine wheel cups. 
Lcd navigations system installed . ,
Complete witten file along with biometric will be given on spotttt. . . 
Water throwing and sound less engine,
No work in the car just buy and drive. 
Car can be seen at peshawar road near raffay mall rawalpindi. . . 
olx scientists,dealers and investers stay away form my add.",https://images.olx.com.pk/thumbnails/413864122-800x600.jpeg,None,kaggle_59
Toyota,Altis Grande,2014,3300000,150000,Petrol,Manual,2014 model second owner car Toyota Corolla 1.8 Grand ManuaL 2. G  full genian gari m Kisi kism ka koi Kam Nhi ha family use car,https://images.olx.com.pk/thumbnails/412420974-800x600.jpeg,None,kaggle_60
Mercedes,E Class,2003,3600000,120000,Petrol,Automatic,"E240 sunroof beige interior
Body genuine
Documents original
Engine suspension perfect",https://images.olx.com.pk/thumbnails/415041061-800x600.jpeg,None,kaggle_61
Honda,City Idsi,2006,1700000,152000,Petrol,Manual,Honda city model 2006 minor touchap for fresh look inner outer sell by sell new tyre new battery all original document available first owner a like new car just by in drive,https://images.olx.com.pk/thumbnails/384208552-800x600.jpeg,None,kaggle_62
Hyundai,Santro,2002,650000,100000,Petrol,Manual,"silver colour  (shower) no work required just buy and ride 
urgent sale 
no tax paid",https://images.olx.com.pk/thumbnails/415147993-800x600.jpeg,None,kaggle_63
Daihatsu,Move,2021,2900000,100000,Petrol,Automatic,"daihatsu move 2017/ 2021
total genuine
outclass condition
car can b seen in okara cantt
price nigotiable",https://images.olx.com.pk/thumbnails/395121376-800x600.jpeg,None,kaggle_64
Honda,City Idsi,2001,950000,40000,Petrol,Automatic,"Honda city midel 2001 exis Auto matic cplc ok petrol and cng Ac on interial orignal ingen orignal hai out side body main thori workig hai All ok hai, my w/p no zero three one six tow one four five tow zero zero",https://images.olx.com.pk/thumbnails/413550119-800x600.jpeg,None,kaggle_65
Daihatsu,Hijet,2011,2300000,150000,Petrol,Automatic,my on name. New tayer. chil ac. no touching  full option no work required home use,https://images.olx.com.pk/thumbnails/394835772-800x600.jpeg,None,kaggle_66
Toyota,Corolla Xli,2007,1350000,250000,Petrol,Manual,Out side shower ha inside genuine 1300CC engine ha mechanically ok just by in drive. Serious person contact me. thanks 0333/97 / 14/ 865///,https://images.olx.com.pk/thumbnails/413722251-800x600.jpeg,None,kaggle_67
Toyota,Yaris,2022,5000000,22000,Petrol,Automatic,"Yaris Toyota 1.3 VVTi 
10/10 condition
seats already poching 
genuine Tyar 
2022 Model 
only serious people text plz
Thanks",https://images.olx.com.pk/thumbnails/412398552-800x600.jpeg,None,kaggle_68
Toyota,Corrolla Altis,2010,2350000,105000,Petrol,Automatic,"Corolla 2010
Automatic Altis 
Islamabad Number
Demand ",https://images.olx.com.pk/thumbnails/412077482-800x600.jpeg,None,kaggle_69
Suzuki,Cultus Vxr,2005,950000,95000,Petrol,Manual,"Suzuki Cultus VXR 2005 Model FAMILY CAR FOR URGENT SALE

Family Used Neat & Clean
Complete original file is availble. 
Driven on petrol throughout. 
Fuel efficient
Chilled Air conditioned
Engine, Suspension are 100% Perfect. 
No mechanical work required
Life time token paid
Overall Condition is A1 10/10. 
Comfort level is outstanding. 
JUST BUY & DRIVE
Contact for furthur details

WhatsApp nmbr 0 three 4 five 1 five 9 nine 9 nine 3

Location: Burma town islamabad",https://images.olx.com.pk/thumbnails/404927615-800x600.jpeg,None,kaggle_70
Honda,City Aspire,2019,3950000,60500,Petrol,Manual,"Honda city: 1.5 Manual Aspire ,Model: 2019 ,Registered: Islamabad, Colour: urban titanium ,Condition: Brand New ,Engine: 100%,  Suspension: 100%. , Body: 100%
Interior and exterior :100%, Steering: Adjustable, Front and back camera installed, 02 keys, smart card and original number plates ,New Firelli  tyres  along with H. S original japan light weight alloy rims installed ,  Spare tyre is unused, 61000kms original driven, Everything is in genuine condition kept with extreme care. 
Not a single penny work required. Everything is in genuine condition. Just buy and enjoy the drive. Seeing is believing. 

Gift for Honda Lovers. 
0 three three one five one three 444 five 

Price is little bit negotiable
Only serious buyers contact",https://images.olx.com.pk/thumbnails/375025317-800x600.jpeg,None,kaggle_71
Suzuki,Ravi,2017,1500000,60000,Petrol,Manual,"Suzuki ravi with hydraulic jack system complete for sale no accident no paint in original condition 
o317 6o2o124",https://images.olx.com.pk/thumbnails/411633507-800x600.jpeg,None,kaggle_72
Suzuki,Swift,2013,1820000,99000,Petrol,Manual,Genuine car . 1 person drive lush condition,https://images.olx.com.pk/thumbnails/411853572-800x600.jpeg,None,kaggle_73
Suzuki,Alto,2022,2815000,7300,Petrol,Automatic,"suzuki alto 2022 white, mileage 7300kms original. 
full genuine, scratch less 
new alloy rim tyres 2000kms driven 
price full and final 28.15 lakh
transfer must",https://images.olx.com.pk/thumbnails/413203086-800x600.jpeg,None,kaggle_74
Mitsubishi,Lancer,2005,1200000,112233,Petrol,Manual,"lancer 2005 in brilliant condition. 
recently showered from outside for fresh look ,inside 101% original guaranteed.",https://images.olx.com.pk/thumbnails/410664623-800x600.jpeg,None,kaggle_75
Suzuki,Swift,2016,2200000,123000,Petrol,Manual,Swift Dlx black car 2016,https://images.olx.com.pk/thumbnails/413869359-800x600.jpeg,None,kaggle_76
Suzuki,Baleno,2005,560000,75000,Petrol,Manual,"gari ok h koi Kam nai h 
upar bodi se 9/10 he",https://images.olx.com.pk/thumbnails/414185015-800x600.jpeg,None,kaggle_77
Daihatsu,Cuore,2011,1200000,35000,Petrol,Automatic,"non accident 
Chill AC
New phoenix battery installed recently 
Automatic transmission 
Original Documents 

contact 0/3/4/3/4/5/2/7/7/0/0",https://images.olx.com.pk/thumbnails/411835790-800x600.jpeg,None,kaggle_78
Suzuki,Wagon R,2018,1925000,93575,Petrol,Manual,"* Suzuki Wagon R Chill Air Conditioner. 
* Model # 2018, 
* Outside Shower Except Roof , Pillars But Not Involved In any Major Accident. 
* Inside Room Total Genuine. 
* Seal to Seal Genuine , No Seal Damage. 
* Quick Biomathematic and All Documents Original with Both Computerized Number Plates. 
* Suspension Wise And Mechanically 110% Perfect also Fresh Tuning with Original New Spark Plugs installation. 
* Clutch Plates and Pressure All Good. 
* Battery in Warranty New Replaced. 
* Fuel average 16+/ltr
* Posshish New Installed , With Comfortable Seats. 
* 4 Speaker with Amplifier and Bluetooth. 
* Breaking Pads Good.",https://images.olx.com.pk/thumbnails/395607999-800x600.jpeg,None,kaggle_79
Suzuki,Baleno,2003,930000,99999,Petrol,Manual,Ac fit hai under se jenien hai aur bahir se shaward hai petrol ki average zabardast hai life time token hai contact ,https://images.olx.com.pk/thumbnails/406511302-800x600.jpeg,None,kaggle_80
Changan,Karvaan,2022,2200000,7000,Petrol,Manual,changan karvaan plus for urgent sale interested people pleas contact chaska party stay away only one oil changed like new car,https://images.olx.com.pk/thumbnails/409909572-800x600.jpeg,None,kaggle_81
Suzuki,Wagon R,2019,2500000,50000,Petrol,Manual,"Total gennuine 
19 model 
New tyres new battery
Chill ac 
Bio matric on the spot available
50k 
Gennuine driven 
All lubricants changed recently 
Only driven in Lahore
only serious buyers contact no time wasters
0/3/2/1/7/9/8/9/9/5/6 whats app",https://images.olx.com.pk/thumbnails/414645898-800x600.jpeg,None,kaggle_82
Toyota,Corolla Xli,2020,4300000,48000,Petrol,Automatic,xli 2020 2 pec touch baki total geniun ha saaf gari ha ,https://images.olx.com.pk/thumbnails/413036603-800x600.jpeg,None,kaggle_83
Toyota,Corolla Gli,2019,2195000,60000,Petrol,Manual,total geniune gari h sirf 60000 chali hui h gari ki lebortry sapurdari hui h jisko samjh ho bs vohi cal kare please,https://images.olx.com.pk/thumbnails/413471417-800x600.jpeg,None,kaggle_84
Faw,X-Pv,2014,900000,150000,Petrol,Manual,good condition. fuel avrige 14 km. body conditions good. tyre new. kisi kisam ka kam karwany ki zarort nai. bs khareedy or chalay.,https://images.olx.com.pk/thumbnails/410347317-800x600.jpeg,None,kaggle_85
Toyota,Yaris,2021,4100000,42000,Petrol,Automatic,"*MAKE= TOYOTA*
*MODEL = YARIS*
*PACKAGE=1.3 ATIV C. V. T*
*COLOUR TRIM=Graphite Gray*
*MODEL=2021*
*MILEAGE=42000*
*BODY STATUS= GENUINE %*
*REMOTE KEY ENTRY*
*ANDROID TV  BACK CAMERA REAR*
*MULTI MEDIA STEERING*
*FOG LAMP=ok*
*SMOOTH DRIVE=100
*SUSPENSION=100*
*EXCEL=100%*
*ENGINE=100%*
*DEMAND 4100,000/-final",https://images.olx.com.pk/thumbnails/411187762-800x600.jpeg,None,kaggle_86
Suzuki,Bolan,2009,860000,100000,Petrol,Manual,"Carry bolan 09. 
Life time token. 
Rawalpindi no. 
Total geniune condation. 
New tyer. 
Alloy rim.",https://images.olx.com.pk/thumbnails/411143430-800x600.jpeg,None,kaggle_87
Suzuki,Mehran Vxr,2011,530000,35000,Petrol,Manual,"yellow cab ,Genuine body,",https://images.olx.com.pk/thumbnails/413872742-800x600.jpeg,None,kaggle_88
Honda,City Ivtec,2010,2490000,210000,Petrol,Manual,"Overall car, engine and body everything is in prestine and neat and clean condition. Don't expect zero meter car. 
original smar card and biometric available 
islamabad registered 
new poshish done

car can be seen at B-17. Mon-Fri after 05:00pm. Sat-Sun anytime full day. 

Price is negotiable on spot for serious buyers. Don't expect miracles. 
Do market survey before giving an offer. 

Will be sold to the nearest offer.",https://images.olx.com.pk/thumbnails/414559622-800x600.jpeg,None,kaggle_89
Daihatsu,Mira,2012,2070000,100000,Petrol,Automatic,"Mira ES Icco IDLE
G gread
Model 12 15
colour Ice Blue
 touchup 3 piece
own Engine
suspension 100",https://images.olx.com.pk/thumbnails/408431497-800x600.jpeg,None,kaggle_90
