model,make,year,price,mileage,fuel_type,transmission,body_type,condition,seat,color,features,description,image_url
Model Y,Tesla,2022,420000,48000,Electric,Automatic,SUV,foreign_used,5,White,All wheel drive; Navigation; Backup camera; Premium audio; Heated seats,"2022 Tesla Model Y (foreign used), a premium suv well suited to family trips and weekend getaways — a good fit for family-oriented drivers. Comes with all wheel drive. A electric powertrain keeps running costs low for eco-conscious drivers. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
Fit,Honda,2018,75000,82000,Gasoline,CVT,Hatchback,foreign_used,5,White,Backup camera; Bluetooth,"2018 Honda Fit (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with backup camera.",
Vitz,Toyota,2017,68000,95000,Gasoline,CVT,Hatchback,foreign_used,5,Silver,Bluetooth; Backup camera,"2017 Toyota Vitz (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with bluetooth.",
Yaris,Toyota,2019,90000,76000,Gasoline,Automatic,Hatchback,foreign_used,5,Red,Bluetooth; Backup camera; Navigation,"2019 Toyota Yaris (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with bluetooth.",
Picanto,Kia,2019,65000,68000,Gasoline,Automatic,Hatchback,foreign_used,5,Blue,Bluetooth; Backup camera,"2019 Kia Picanto (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with bluetooth.",
Getz,Hyundai,2010,39000,160000,Gasoline,Manual,Hatchback,local_used,5,Red,Bluetooth,"2010 Hyundai Getz (locally used), a budget-friendly hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with bluetooth.",
Golf,Volkswagen,2017,120000,115000,Diesel,Manual,Hatchback,foreign_used,5,Gray,Navigation; Bluetooth; Heated seats,"2017 Volkswagen Golf (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with navigation.",
Swift,Suzuki,2018,78000,80000,Gasoline,Manual,Hatchback,foreign_used,5,White,Bluetooth; Backup camera,"2018 Suzuki Swift (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with bluetooth.",
Mazda3,Mazda,2018,130000,90000,Gasoline,Automatic,Hatchback,foreign_used,5,Black,Sunroof; Navigation; Backup camera,"2018 Mazda Mazda3 (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with sunroof.",
Leaf,Nissan,2020,110000,62000,Electric,Automatic,Hatchback,foreign_used,5,White,Navigation; Backup camera; Heated seats,"2020 Nissan Leaf (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with navigation. A electric powertrain keeps running costs low for eco-conscious drivers.",
i3,BMW,2019,180000,58000,Electric,Automatic,Hatchback,foreign_used,4,Blue,Navigation; Premium audio; Heated seats,"2019 BMW i3 (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with navigation. A electric powertrain keeps running costs low for eco-conscious drivers. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
Mustang,Ford,2018,220000,72000,Gasoline,Automatic,Coupe,foreign_used,4,Red,Leather seats; Premium audio; Backup camera,"2018 Ford Mustang (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
Camaro,Chevrolet,2019,250000,68000,Gasoline,Automatic,Coupe,foreign_used,4,Yellow,Leather seats; Navigation; Backup camera,"2019 Chevrolet Camaro (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
86,Toyota,2018,210000,65000,Gasoline,Manual,Coupe,foreign_used,4,White,Bluetooth; Backup camera,"2018 Toyota 86 (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with bluetooth.",
BRZ,Subaru,2019,230000,58000,Gasoline,Manual,Coupe,foreign_used,4,Blue,Backup camera; Bluetooth,"2019 Subaru BRZ (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with backup camera.",
C-Class Coupe,Mercedes-Benz,2018,350000,62000,Gasoline,Automatic,Coupe,foreign_used,4,Black,Sunroof; Leather seats; Premium audio; Navigation,"2018 Mercedes-Benz C-Class Coupe (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with sunroof. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
4 Series,BMW,2019,390000,55000,Gasoline,Automatic,Coupe,foreign_used,4,Gray,Sunroof; Leather seats; Navigation; Premium audio,"2019 BMW 4 Series (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with sunroof. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
A5,Audi,2018,360000,70000,Gasoline,Automatic,Coupe,foreign_used,4,White,Sunroof; Leather seats; Navigation; Premium audio,"2018 Audi A5 (foreign used), a premium coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with sunroof. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
Eclipse,Mitsubishi,2011,95000,140000,Gasoline,Manual,Coupe,local_used,4,Silver,Leather seats; Bluetooth,"2011 Mitsubishi Eclipse (locally used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
Veloster,Hyundai,2019,180000,72000,Gasoline,Manual,Coupe,foreign_used,4,Orange,Sunroof; Navigation; Backup camera,"2019 Hyundai Veloster (foreign used), a budget-friendly coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with sunroof.",
Challenger,Dodge,2018,320000,68000,Gasoline,Automatic,Coupe,foreign_used,5,Black,Leather seats; Navigation; Premium audio; Backup camera,"2018 Dodge Challenger (foreign used), a well-priced coupe well suited to weekend drives and spirited handling — a good fit for lifestyle-focused drivers. Comes with leather seats.",
MX-5 Miata,Mazda,2019,240000,52000,Gasoline,Manual,Convertible,foreign_used,2,Red,Leather seats; Bluetooth; Backup camera,"2019 Mazda MX-5 Miata (foreign used), a budget-friendly convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
Mustang Convertible,Ford,2018,280000,67000,Gasoline,Automatic,Convertible,foreign_used,4,White,Leather seats; Premium audio; Backup camera,"2018 Ford Mustang Convertible (foreign used), a budget-friendly convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
Camaro Convertible,Chevrolet,2019,310000,60000,Gasoline,Automatic,Convertible,foreign_used,4,Yellow,Leather seats; Navigation; Backup camera,"2019 Chevrolet Camaro Convertible (foreign used), a budget-friendly convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
C-Class Cabriolet,Mercedes-Benz,2019,430000,55000,Gasoline,Automatic,Convertible,foreign_used,4,Black,Leather seats; Sunroof; Premium audio; Navigation,"2019 Mercedes-Benz C-Class Cabriolet (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
E-Class Cabriolet,Mercedes-Benz,2018,500000,65000,Gasoline,Automatic,Convertible,foreign_used,4,Silver,Leather seats; Heated seats; Navigation; Premium audio,"2018 Mercedes-Benz E-Class Cabriolet (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
4 Series Convertible,BMW,2019,420000,58000,Gasoline,Automatic,Convertible,foreign_used,4,Blue,Leather seats; Navigation; Premium audio,"2019 BMW 4 Series Convertible (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
TT Roadster,Audi,2018,380000,62000,Gasoline,Automatic,Convertible,foreign_used,2,Gray,Leather seats; Navigation; Backup camera,"2018 Audi TT Roadster (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
Z4,BMW,2020,480000,42000,Gasoline,Automatic,Convertible,foreign_used,2,White,Leather seats; Navigation; Premium audio; Heated seats,"2020 BMW Z4 (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
Boxster,Porsche,2017,550000,50000,Gasoline,Automatic,Convertible,foreign_used,2,Red,Leather seats; Navigation; Premium audio,"2017 Porsche Boxster (foreign used), a well-priced convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats.",
911 Cabriolet,Porsche,2018,900000,45000,Gasoline,Automatic,Convertible,foreign_used,2,Black,Leather seats; Navigation; Premium audio; Heated seats,"2018 Porsche 911 Cabriolet (foreign used), a premium convertible well suited to weekend adventures and open-top cruising — a good fit for adventure seekers and luxury lovers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
Hilux,Toyota,2019,280000,95000,Diesel,Manual,Truck,foreign_used,5,White,All wheel drive; Bluetooth; Backup camera,"2019 Toyota Hilux (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
Ranger,Ford,2019,270000,82000,Diesel,Automatic,Truck,foreign_used,5,Black,All wheel drive; Navigation; Backup camera,"2019 Ford Ranger (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
Navara,Nissan,2018,250000,105000,Diesel,Manual,Truck,foreign_used,5,Silver,All wheel drive; Bluetooth; Backup camera,"2018 Nissan Navara (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
D-Max,Isuzu,2019,245000,98000,Diesel,Manual,Truck,foreign_used,5,White,All wheel drive; Bluetooth,"2019 Isuzu D-Max (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
L200,Mitsubishi,2018,235000,110000,Diesel,Manual,Truck,foreign_used,5,Gray,All wheel drive; Backup camera,"2018 Mitsubishi L200 (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
Colorado,Chevrolet,2019,260000,85000,Diesel,Automatic,Truck,foreign_used,5,Blue,All wheel drive; Navigation; Backup camera,"2019 Chevrolet Colorado (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
F-150,Ford,2018,350000,90000,Gasoline,Automatic,Truck,foreign_used,5,Black,All wheel drive; Leather seats; Navigation; Backup camera,"2018 Ford F-150 (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
Tundra,Toyota,2019,390000,78000,Gasoline,Automatic,Truck,foreign_used,5,White,All wheel drive; Leather seats; Premium audio; Backup camera,"2019 Toyota Tundra (foreign used), a premium truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
Frontier,Nissan,2020,290000,70000,Gasoline,Automatic,Truck,foreign_used,5,Red,Backup camera; Bluetooth; All wheel drive,"2020 Nissan Frontier (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with backup camera.",
Amarok,Volkswagen,2018,300000,88000,Diesel,Automatic,Truck,foreign_used,5,Silver,All wheel drive; Leather seats; Navigation,"2018 Volkswagen Amarok (foreign used), a well-priced truck well suited to hauling and rough Ghanaian roads — a good fit for adventure seekers. Comes with all wheel drive.",
Outback,Subaru,2019,230000,85000,Gasoline,CVT,Wagon,foreign_used,5,Blue,All wheel drive; Navigation; Backup camera,"2019 Subaru Outback (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all wheel drive.",
Forester,Subaru,2018,210000,92000,Gasoline,CVT,Wagon,foreign_used,5,White,All wheel drive; Sunroof; Backup camera,"2018 Subaru Forester (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with all wheel drive.",
V60,Volvo,2019,320000,70000,Diesel,Automatic,Wagon,foreign_used,5,Gray,Leather seats; Navigation; Heated seats,"2019 Volvo V60 (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with leather seats.",
E-Class Estate,Mercedes-Benz,2018,390000,76000,Diesel,Automatic,Wagon,foreign_used,5,Black,Leather seats; Navigation; Premium audio; Heated seats,"2018 Mercedes-Benz E-Class Estate (foreign used), a premium wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with leather seats. A solid pick for luxury lovers who want a standout badge on Ghanaian roads.",
3 Series Touring,BMW,2019,360000,68000,Diesel,Automatic,Wagon,foreign_used,5,White,Leather seats; Navigation; Premium audio,"2019 BMW 3 Series Touring (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with leather seats.",
Golf Variant,Volkswagen,2018,180000,98000,Diesel,Manual,Wagon,foreign_used,5,Silver,Navigation; Bluetooth; Heated seats,"2018 Volkswagen Golf Variant (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with navigation.",
Octavia Combi,Skoda,2019,170000,90000,Diesel,Manual,Wagon,foreign_used,5,Gray,Navigation; Backup camera; Bluetooth,"2019 Skoda Octavia Combi (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with navigation.",
Corolla Fielder,Toyota,2018,135000,82000,Hybrid,CVT,Wagon,foreign_used,5,White,Bluetooth; Backup camera; Navigation,"2018 Toyota Corolla Fielder (foreign used), a budget-friendly wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with bluetooth. A hybrid powertrain keeps running costs low for eco-conscious drivers.",
A4 Avant,Audi,2018,330000,75000,Gasoline,Automatic,Wagon,foreign_used,5,Black,Sunroof; Leather seats; Navigation; Premium audio,"2018 Audi A4 Avant (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with sunroof.",
C-Class Estate,Mercedes-Benz,2019,370000,65000,Gasoline,Automatic,Wagon,foreign_used,5,Silver,Sunroof; Leather seats; Navigation; Backup camera,"2019 Mercedes-Benz C-Class Estate (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with sunroof.",
Corrolla Altis,Toyota,2008,165000,72000,Gasoline,Automatic,Sedan,foreign_used,5,Black,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2008 Toyota Corrolla Altis (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Swift,Suzuki,2022,120000,4000,Gasoline,Automatic,Hatchback,foreign_used,5,Red,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2022 Suzuki Swift (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Civic Oriel,Honda,2017,179000,95000,Gasoline,Automatic,Sedan,foreign_used,5,Gray,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2017 Honda Civic Oriel (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Corolla XLI,Toyota,2010,180000,1234,Gasoline,Manual,Sedan,local_used,5,Silver,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2010 Toyota Corolla XLI (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Passo,Toyota,2013,62000,135000,Gasoline,Automatic,Hatchback,foreign_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2013 Toyota Passo (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Every,Suzuki,2016,305500,1000,Gasoline,Manual,Wagon,foreign_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2016 Suzuki Every (foreign used), a well-priced wagon well suited to family trips with plenty of cargo room — a good fit for family-oriented drivers. Comes with ABS.",
Alsvin,Changan,2022,223500,29000,Gasoline,Automatic,Sedan,local_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2022 Changan Alsvin (locally used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Civic Oriel,Honda,2006,106000,160000,Gasoline,Automatic,Sedan,local_used,5,Blue,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2006 Honda Civic Oriel (locally used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Corolla GLI,Toyota,2014,130000,125000,Gasoline,Automatic,Sedan,foreign_used,5,Silver,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2014 Toyota Corolla GLI (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
City Aspire,Honda,2022,216000,19000,Gasoline,Automatic,Sedan,foreign_used,5,Gray,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2022 Honda City Aspire (foreign used), a premium sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Altis Grande,Toyota,2017,131500,124000,Gasoline,Automatic,Sedan,foreign_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2017 Toyota Altis Grande (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
City IVTEC,Honda,2017,161500,110000,Gasoline,Automatic,Sedan,foreign_used,5,Yellow,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2017 Honda City IVTEC (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Prius,Toyota,2008,65500,100000,Gasoline,Manual,Hatchback,foreign_used,5,Blue,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2008 Toyota Prius (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Passo,Toyota,2017,90000,105000,Gasoline,Automatic,Hatchback,foreign_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2017 Toyota Passo (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Civic Oriel,Honda,2016,156500,85000,Gasoline,Manual,Sedan,foreign_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2016 Honda Civic Oriel (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Civic Prosmetic,Honda,2007,131500,100000,Gasoline,Automatic,Sedan,foreign_used,5,White,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2007 Honda Civic Prosmetic (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Altis Grande,Toyota,2016,148000,68000,Gasoline,Automatic,Sedan,foreign_used,5,Black,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2016 Toyota Altis Grande (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Cuore,Daihatsu,2006,70500,26868,Gasoline,Manual,Hatchback,foreign_used,5,Silver,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2006 Daihatsu Cuore (foreign used), a well-priced hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS.",
Civic Prosmetic,Honda,2012,138000,112000,Gasoline,Automatic,Sedan,foreign_used,5,Black,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2012 Honda Civic Prosmetic (foreign used), a well-priced sedan well suited to daily commuting and city driving — a good fit for urban professionals. Comes with ABS.",
Picanto,KIA,2021,157000,65000,Gasoline,Automatic,Hatchback,foreign_used,5,Black,ABS; Air Bags; Premium Audio; Heated Seats; Backup Camera; Immobilizer Key; Keyless Entry; Navigation; Power Locks; Power Mirrors; Power Steering; Power Windows,"2021 KIA Picanto (foreign used), a premium hatchback well suited to quick city runs and easy parking — a good fit for budget-conscious buyers. Comes with ABS. A solid pick for luxury lovers who want a standout badge.",
