make,model,image_url,license,artist,source_page
Toyota,RAV4,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e7/Toyota_RAV4_Plug-in_Hybrid_GR_Sport_IMG_9896.jpg/960px-Toyota_RAV4_Plug-in_Hybrid_GR_Sport_IMG_9896.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Toyota_RAV4_Plug-in_Hybrid_GR_Sport_IMG_9896.jpg
Honda,CR-V,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c3/2018_Honda_CR-V_%28RW_MY18%29_%2BSport_2WD_wagon_%282018-10-22%29_01.jpg/960px-2018_Honda_CR-V_%28RW_MY18%29_%2BSport_2WD_wagon_%282018-10-22%29_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:EurovisionNim"" title=""User:EurovisionNim"">EurovisionNim</a>",https://commons.wikimedia.org/wiki/File:2018_Honda_CR-V_(RW_MY18)_%2BSport_2WD_wagon_(2018-10-22)_01.jpg
Hyundai,Tucson,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/Hyundai_Tucson_%28NX4%2C_SWB%29_PHEV_1X7A1858.jpg/960px-Hyundai_Tucson_%28NX4%2C_SWB%29_PHEV_1X7A1858.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>","https://commons.wikimedia.org/wiki/File:Hyundai_Tucson_(NX4,_SWB)_PHEV_1X7A1858.jpg"
Kia,Sportage,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9a/Kia_Sportage_Plug-in-Hybrid_%28NQ5%29_1X7A0317.jpg/960px-Kia_Sportage_Plug-in-Hybrid_%28NQ5%29_1X7A0317.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Kia_Sportage_Plug-in-Hybrid_(NQ5)_1X7A0317.jpg
Nissan,X-Trail,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Nissan_X-Trail_%28T33%29_1X7A7179.jpg/960px-Nissan_X-Trail_%28T33%29_1X7A7179.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Nissan_X-Trail_(T33)_1X7A7179.jpg
Mitsubishi,Outlander,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/2021-2024_Mitsubishi_Outlander_PHEV_P_rear.jpg/960px-2021-2024_Mitsubishi_Outlander_PHEV_P_rear.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"<a href=""//commons.wikimedia.org/wiki/User:TTTNIS"" title=""User:TTTNIS"">TTTNIS</a>",https://commons.wikimedia.org/wiki/File:2021-2024_Mitsubishi_Outlander_PHEV_P_rear.jpg
Toyota,Highlander,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/Toyota_Highlander%2C_Korle-Klottey_%28P1090889%29.jpg/960px-Toyota_Highlander%2C_Korle-Klottey_%28P1090889%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:MB-one"" title=""User:MB-one"">Matti Blume</a>","https://commons.wikimedia.org/wiki/File:Toyota_Highlander,_Korle-Klottey_(P1090889).jpg"
Mazda,CX-5,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/43/Mazda_CX-5_Newground_1X7A6786.jpg/960px-Mazda_CX-5_Newground_1X7A6786.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Mazda_CX-5_Newground_1X7A6786.jpg
Mercedes-Benz,G-Class,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a0/Mercedes-Benz_Concept_EQG_IAA_2021_1X7A0095.jpg/960px-Mercedes-Benz_Concept_EQG_IAA_2021_1X7A0095.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Mercedes-Benz_Concept_EQG_IAA_2021_1X7A0095.jpg
Tesla,Model Y,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/5c/Tesla_Model_Y_%282025%29_MYLE_Festival_2025_DSC_9565.jpg/960px-Tesla_Model_Y_%282025%29_MYLE_Festival_2025_DSC_9565.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Tesla_Model_Y_(2025)_MYLE_Festival_2025_DSC_9565.jpg
Honda,Fit,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1a/Japanese_car_accident.jpg/960px-Japanese_car_accident.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/udono/"">Shuets Udono</a>",https://commons.wikimedia.org/wiki/File:Japanese_car_accident.jpg
Toyota,Vitz,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/Toyota_Vitz%2C_Korle-Klottey_%28P1100243%29.jpg/960px-Toyota_Vitz%2C_Korle-Klottey_%28P1100243%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:MB-one"" title=""User:MB-one"">Matti Blume</a>","https://commons.wikimedia.org/wiki/File:Toyota_Vitz,_Korle-Klottey_(P1100243).jpg"
Toyota,Yaris,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/48/Toyota_Yaris_%28XP90%29_sedan_1X7A1814.jpg/960px-Toyota_Yaris_%28XP90%29_sedan_1X7A1814.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Toyota_Yaris_(XP90)_sedan_1X7A1814.jpg
Kia,Picanto,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/89/Kia_Picanto_%28SA%29_DSC_7988.jpg/960px-Kia_Picanto_%28SA%29_DSC_7988.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Kia_Picanto_(SA)_DSC_7988.jpg
Hyundai,Getz,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b1/2006_Hyundai_Getz_%28TB_MY06%29_1.6_3-door_hatchback_%282008-10-28%29.jpg/960px-2006_Hyundai_Getz_%28TB_MY06%29_1.6_3-door_hatchback_%282008-10-28%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:OSX"" title=""User:OSX"">OSX</a>",https://commons.wikimedia.org/wiki/File:2006_Hyundai_Getz_(TB_MY06)_1.6_3-door_hatchback_(2008-10-28).jpg
Volkswagen,Golf,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/Volkswagen_Golf_IV_hatchback_V5_DSC_0646.jpg/960px-Volkswagen_Golf_IV_hatchback_V5_DSC_0646.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Volkswagen_Golf_IV_hatchback_V5_DSC_0646.jpg
Suzuki,Swift,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2c/2020_Suzuki_Swift_Facelift_IMG_1884.jpg/960px-2020_Suzuki_Swift_Facelift_IMG_1884.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:2020_Suzuki_Swift_Facelift_IMG_1884.jpg
Mazda,Mazda3,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/29/Mazda3_%28BP%29_X_e-Skyactiv-X_IMG_9020.jpg/960px-Mazda3_%28BP%29_X_e-Skyactiv-X_IMG_9020.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Mazda3_(BP)_X_e-Skyactiv-X_IMG_9020.jpg
Nissan,Leaf,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/2017_Nissan_LEAF_%28ZE0_MY17%29_hatchback_%282018-11-02%29_01.jpg/960px-2017_Nissan_LEAF_%28ZE0_MY17%29_hatchback_%282018-11-02%29_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:EurovisionNim"" title=""User:EurovisionNim"">EurovisionNim</a>",https://commons.wikimedia.org/wiki/File:2017_Nissan_LEAF_(ZE0_MY17)_hatchback_(2018-11-02)_01.jpg
BMW,i3,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/D%C3%BClmen%2C_Kirchspiel%2C_Visbeck%2C_BMW_i3_--_2016_--_1581-7.jpg/960px-D%C3%BClmen%2C_Kirchspiel%2C_Visbeck%2C_BMW_i3_--_2016_--_1581-7.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q34788025"" class=""extiw"" title=""d:Q34788025""><span title=""German photographer and mathematician"">Dietmar Rabich</span></a></bdi>","https://commons.wikimedia.org/wiki/File:D%C3%BClmen,_Kirchspiel,_Visbeck,_BMW_i3_--_2016_--_1581-7.jpg"
Ford,Mustang,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/1966_Ford_Mustang_coupe_white_001.jpg/960px-1966_Ford_Mustang_coupe_white_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Hans-J%C3%BCrgen_Neubert"" title=""User:Hans-Jürgen Neubert"">Hans-Jürgen Neubert</a>",https://commons.wikimedia.org/wiki/File:1966_Ford_Mustang_coupe_white_001.jpg
Chevrolet,Camaro,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Fifth-generation_Chevrolet_Camaro_Convertibles_IMG_4091.jpg/960px-Fifth-generation_Chevrolet_Camaro_Convertibles_IMG_4091.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Fifth-generation_Chevrolet_Camaro_Convertibles_IMG_4091.jpg
Toyota,86,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/96/Subaru_BRZ_%2C_Toronto.jpg/960px-Subaru_BRZ_%2C_Toronto.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Fabian_Roudra_Baroi"" title=""User:Fabian Roudra Baroi"">Fabian Roudra Baroi</a>","https://commons.wikimedia.org/wiki/File:Subaru_BRZ_,_Toronto.jpg"
Subaru,BRZ,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c4/2013_Subaru_BRZ_%286913347409%29.jpg/960px-2013_Subaru_BRZ_%286913347409%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/13907834@N00"">Michael Gil</a> from Calgary, AB, Canada",https://commons.wikimedia.org/wiki/File:2013_Subaru_BRZ_(6913347409).jpg
Mercedes-Benz,C-Class Coupe,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/ba/Mercedes-Benz_CL-Class_%28C_140%29_1X7A7251.jpg/960px-Mercedes-Benz_CL-Class_%28C_140%29_1X7A7251.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Mercedes-Benz_CL-Class_(C_140)_1X7A7251.jpg
BMW,4 Series,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/64/BMW_4_SERIES_CONVERTIBLE_%28F33%29_China.jpg/960px-BMW_4_SERIES_CONVERTIBLE_%28F33%29_China.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Dinkun_Chen"" title=""User:Dinkun Chen"">Dinkun Chen</a>",https://commons.wikimedia.org/wiki/File:BMW_4_SERIES_CONVERTIBLE_(F33)_China.jpg
Audi,A5,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Audi_A5_Coupe_F5_Facelift_1X7A0301.jpg/960px-Audi_A5_Coupe_F5_Facelift_1X7A0301.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Audi_A5_Coupe_F5_Facelift_1X7A0301.jpg
Mitsubishi,Eclipse,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/8f/Mitsubishi_Eclipse_Cross_%28parked%29_in_Joo_Chiat_Road_-_Singapore.jpg/960px-Mitsubishi_Eclipse_Cross_%28parked%29_in_Joo_Chiat_Road_-_Singapore.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Firzafp"" title=""User:Firzafp"">Firzafp</a>",https://commons.wikimedia.org/wiki/File:Mitsubishi_Eclipse_Cross_(parked)_in_Joo_Chiat_Road_-_Singapore.jpg
Hyundai,Veloster,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/31/0_Hyundai_Veloster_%28JS%29_1.jpg/960px-0_Hyundai_Veloster_%28JS%29_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Benespit"" title=""User:Benespit"">Benespit</a>",https://commons.wikimedia.org/wiki/File:0_Hyundai_Veloster_(JS)_1.jpg
Dodge,Challenger,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/69/%2771_Dodge_Challenger_Coupe_%28Cruisin%27_At_The_Boardwalk_%2713%29.JPG/960px-%2771_Dodge_Challenger_Coupe_%28Cruisin%27_At_The_Boardwalk_%2713%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"<a href=""https://en.wikipedia.org/wiki/User:Bull-Doser"" class=""extiw"" title=""en:User:Bull-Doser"">Bull-Doser</a>",https://commons.wikimedia.org/wiki/File:%2771_Dodge_Challenger_Coupe_(Cruisin%27_At_The_Boardwalk_%2713).JPG
Mazda,MX-5 Miata,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/1990_Mazda_MX-5_Miata%2C_front_left%2C_06-08-2024.jpg/960px-1990_Mazda_MX-5_Miata%2C_front_left%2C_06-08-2024.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:MercurySable99"" title=""User:MercurySable99"">MercurySable99</a>","https://commons.wikimedia.org/wiki/File:1990_Mazda_MX-5_Miata,_front_left,_06-08-2024.jpg"
Ford,Mustang Convertible,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/1c/Ford_Mustang_VII_Convertible_Autofr%C3%BChling_Ulm_IMG_9339.jpg/960px-Ford_Mustang_VII_Convertible_Autofr%C3%BChling_Ulm_IMG_9339.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander-93</a>",https://commons.wikimedia.org/wiki/File:Ford_Mustang_VII_Convertible_Autofr%C3%BChling_Ulm_IMG_9339.jpg
Chevrolet,Camaro Convertible,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e4/Fifth-generation_Chevrolet_Camaro_Convertibles_IMG_4091.jpg/960px-Fifth-generation_Chevrolet_Camaro_Convertibles_IMG_4091.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Fifth-generation_Chevrolet_Camaro_Convertibles_IMG_4091.jpg
Mercedes-Benz,C-Class Cabriolet,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/M%C3%BCnster%2C_Beresa%2C_Mercedes-Benz_C-Klasse_Cabrio_--_2018_--_1757.jpg/960px-M%C3%BCnster%2C_Beresa%2C_Mercedes-Benz_C-Klasse_Cabrio_--_2018_--_1757.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q34788025"" class=""extiw"" title=""d:Q34788025""><span title=""German photographer and mathematician"">Dietmar Rabich</span></a></bdi>","https://commons.wikimedia.org/wiki/File:M%C3%BCnster,_Beresa,_Mercedes-Benz_C-Klasse_Cabrio_--_2018_--_1757.jpg"
Mercedes-Benz,E-Class Cabriolet,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/M%C3%BCnster%2C_Beresa%2C_Mercedes-Benz_C-Klasse_Cabrio_--_2018_--_1757.jpg/960px-M%C3%BCnster%2C_Beresa%2C_Mercedes-Benz_C-Klasse_Cabrio_--_2018_--_1757.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q34788025"" class=""extiw"" title=""d:Q34788025""><span title=""German photographer and mathematician"">Dietmar Rabich</span></a></bdi>","https://commons.wikimedia.org/wiki/File:M%C3%BCnster,_Beresa,_Mercedes-Benz_C-Klasse_Cabrio_--_2018_--_1757.jpg"
BMW,4 Series Convertible,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/BMW_E46_2C_LCI_3_Series_Convertible_Black_II_%284%29.jpg/960px-BMW_E46_2C_LCI_3_Series_Convertible_Black_II_%284%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Damian_B_Oh"" title=""User:Damian B Oh"">Damian B Oh</a>",https://commons.wikimedia.org/wiki/File:BMW_E46_2C_LCI_3_Series_Convertible_Black_II_(4).jpg
Audi,TT Roadster,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/Audi_TT_Roadster_Tuning.jpg/960px-Audi_TT_Roadster_Tuning.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"<a href=""//commons.wikimedia.org/wiki/User:JaayJay"" title=""User:JaayJay"">JaayJay</a>",https://commons.wikimedia.org/wiki/File:Audi_TT_Roadster_Tuning.jpg
BMW,Z4,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/41/BMW_Z4_-_A740126.jpg/960px-BMW_Z4_-_A740126.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Rjcastillo"" title=""User:Rjcastillo"">Rjcastillo</a>",https://commons.wikimedia.org/wiki/File:BMW_Z4_-_A740126.jpg
Porsche,Boxster,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0e/Porsche_718_Boxster_T_Genf_2019_1Y7A5425.jpg/960px-Porsche_718_Boxster_T_Genf_2019_1Y7A5425.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Alexander-93"" title=""User:Alexander-93"">Alexander Migl</a>",https://commons.wikimedia.org/wiki/File:Porsche_718_Boxster_T_Genf_2019_1Y7A5425.jpg
