make,model,year,price,mileage,fuel_type,transmission,body_type,description,image_url,vehicle_id
Bmw,2 Series,2016,40650,34,Premium Unleaded (Required),Automatic,Convertible,Compact,,kaggle_28
Bmw,2 Series,2016,44150,31,Premium Unleaded (Required),Automatic,Coupe,Compact,,kaggle_29
Bmw,2 Series,2016,46150,30,Premium Unleaded (Required),Automatic,Coupe,Compact,,kaggle_30
Bmw,2 Series,2016,50750,30,Premium Unleaded (Required),Automatic,Convertible,Compact,,kaggle_31
Bmw,2 Series,2017,46450,31,Premium Unleaded (Recommended),Automatic,Coupe,Compact,,kaggle_32
Bmw,2 Series,2017,49050,32,Premium Unleaded (Recommended),Automatic,Convertible,Compact,,kaggle_33
Bmw,2 Series,2017,51050,32,Premium Unleaded (Recommended),Automatic,Convertible,Compact,,kaggle_34
Bmw,2 Series,2017,44450,32,Premium Unleaded (Recommended),Automatic,Coupe,Compact,,kaggle_35
Bmw,2 Series,2017,38950,34,Premium Unleaded (Recommended),Automatic,Convertible,Compact,,kaggle_36
Bmw,2 Series,2017,33150,35,Premium Unleaded (Recommended),Automatic,Coupe,Compact,,kaggle_37
Bmw,2 Series,2017,35150,33,Premium Unleaded (Recommended),Automatic,Coupe,Compact,,kaggle_38
Bmw,2 Series,2017,40950,33,Premium Unleaded (Recommended),Automatic,Convertible,Compact,,kaggle_39
Audi,200,1990,2000,20,Regular Unleaded,Automatic,Sedan,Midsize,,kaggle_40
Audi,200,1991,2000,22,Regular Unleaded,Manual,Sedan,Midsize,,kaggle_41
Chrysler,200,2015,25170,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_42
Chrysler,200,2015,23950,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_43
Chrysler,200,2015,29370,29,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_44
Chrysler,200,2015,21995,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_45
Chrysler,200,2015,26625,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_46
Chrysler,200,2015,30825,29,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_47
Chrysler,200,2016,21995,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_48
Chrysler,200,2016,27795,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_49
Chrysler,200,2016,31785,29,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_50
Chrysler,200,2016,29905,29,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_51
Chrysler,200,2016,22490,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_52
Chrysler,200,2016,27570,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_53
Chrysler,200,2016,25690,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_54
Chrysler,200,2016,24490,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_55
Chrysler,200,2017,29905,28,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_56
Chrysler,200,2017,31785,28,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_57
Chrysler,200,2017,26685,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_58
Chrysler,200,2017,22490,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_59
Chrysler,200,2017,25690,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_60
Chrysler,200,2017,30900,28,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_61
Chrysler,200,2017,27795,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_62
Chrysler,200,2017,21995,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_63
Chrysler,200,2017,24490,36,Flex-Fuel (Unleaded/E85),Automatic,Sedan,Midsize,,kaggle_64
Nissan,200Sx,1996,2000,36,Regular Unleaded,Manual,Coupe,Compact,,kaggle_65
Nissan,200Sx,1997,2000,29,Regular Unleaded,Manual,Coupe,Compact,,kaggle_66
Nissan,200Sx,1998,2000,35,Regular Unleaded,Manual,Coupe,Compact,,kaggle_67
Nissan,200Sx,1998,2073,28,Regular Unleaded,Manual,Coupe,Compact,,kaggle_68
Nissan,240Sx,1996,3713,26,Regular Unleaded,Manual,Coupe,Compact,,kaggle_69
Nissan,240Sx,1996,3520,26,Regular Unleaded,Manual,Coupe,Compact,,kaggle_70
Nissan,240Sx,1997,3910,26,Regular Unleaded,Manual,Coupe,Compact,,kaggle_71
Nissan,240Sx,1997,4182,26,Regular Unleaded,Manual,Coupe,Compact,,kaggle_72
Nissan,240Sx,1997,4107,26,Regular Unleaded,Manual,Coupe,Compact,,kaggle_73
Nissan,240Sx,1998,4299,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_74
Nissan,240Sx,1998,4693,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_75
Nissan,240Sx,1998,4107,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_76
Volvo,240,1991,2000,26,Regular Unleaded,Manual,Wagon,Midsize,,kaggle_77
Volvo,240,1992,2000,26,Regular Unleaded,Manual,Sedan,Midsize,,kaggle_78
Volvo,240,1993,2000,26,Regular Unleaded,Manual,Sedan,Midsize,,kaggle_79
Mazda,2,2012,16020,35,Regular Unleaded,Manual,4Dr Hatchback,Compact,,kaggle_80
Mazda,2,2012,14530,35,Regular Unleaded,Manual,4Dr Hatchback,Compact,,kaggle_81
Mazda,2,2012,16860,34,Regular Unleaded,Automatic,4Dr Hatchback,Compact,,kaggle_82
Mazda,2,2012,15370,34,Regular Unleaded,Automatic,4Dr Hatchback,Compact,,kaggle_83
Mazda,2,2013,17050,34,Regular Unleaded,Automatic,4Dr Hatchback,Compact,,kaggle_84
Mazda,2,2013,15560,34,Regular Unleaded,Automatic,4Dr Hatchback,Compact,,kaggle_85
Mazda,2,2013,16210,35,Regular Unleaded,Manual,4Dr Hatchback,Compact,,kaggle_86
Mazda,2,2013,14720,35,Regular Unleaded,Manual,4Dr Hatchback,Compact,,kaggle_87
Mazda,2,2014,17050,34,Regular Unleaded,Automatic,4Dr Hatchback,Compact,,kaggle_88
Mazda,2,2014,15560,34,Regular Unleaded,Automatic,4Dr Hatchback,Compact,,kaggle_89
Mazda,2,2014,16210,35,Regular Unleaded,Manual,4Dr Hatchback,Compact,,kaggle_90
Mazda,2,2014,14720,35,Regular Unleaded,Manual,4Dr Hatchback,Compact,,kaggle_91
Bmw,3 Series Gran Turismo,2015,47250,30,Premium Unleaded (Required),Automatic,4Dr Hatchback,Midsize,,kaggle_92
Bmw,3 Series Gran Turismo,2015,41850,33,Premium Unleaded (Required),Automatic,4Dr Hatchback,Midsize,,kaggle_93
Bmw,3 Series Gran Turismo,2016,43000,34,Premium Unleaded (Required),Automatic,4Dr Hatchback,Midsize,,kaggle_94
Bmw,3 Series Gran Turismo,2016,49200,30,Premium Unleaded (Required),Automatic,4Dr Hatchback,Midsize,,kaggle_95
Bmw,3 Series Gran Turismo,2017,49650,30,Premium Unleaded (Required),Automatic,4Dr Hatchback,Midsize,,kaggle_96
Bmw,3 Series Gran Turismo,2017,43950,33,Premium Unleaded (Required),Automatic,4Dr Hatchback,Midsize,,kaggle_97
Bmw,3 Series,2015,41950,33,Premium Unleaded (Required),Automatic,Wagon,Midsize,,kaggle_98
Bmw,3 Series,2015,50150,33,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_99
Bmw,3 Series,2015,37500,35,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_100
Bmw,3 Series,2015,43750,32,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_101
Bmw,3 Series,2015,39000,45,Diesel,Automatic,Sedan,Midsize,,kaggle_102
Bmw,3 Series,2015,39500,33,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_103
Bmw,3 Series,2015,34950,35,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_104
Bmw,3 Series,2015,45750,30,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_105
Bmw,3 Series,2015,43450,43,Diesel,Automatic,Wagon,Midsize,,kaggle_106
Bmw,3 Series,2015,41000,43,Diesel,Automatic,Sedan,Midsize,,kaggle_107
Bmw,3 Series,2015,32950,36,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_108
Bmw,3 Series,2016,41850,40,Diesel,Automatic,Sedan,Midsize,,kaggle_109
Bmw,3 Series,2016,47800,33,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_110
Bmw,3 Series,2016,39850,42,Diesel,Automatic,Sedan,Midsize,,kaggle_111
Bmw,3 Series,2016,38350,34,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_112
Bmw,3 Series,2016,40350,34,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_113
Bmw,3 Series,2016,42650,34,Premium Unleaded (Required),Automatic,Wagon,Midsize,,kaggle_114
Bmw,3 Series,2016,33150,36,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_115
Bmw,3 Series,2016,35150,35,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_116
Bmw,3 Series,2016,44150,40,Diesel,Automatic,Wagon,Midsize,,kaggle_117
Bmw,3 Series,2016,45800,33,Premium Unleaded (Required),Automatic,Sedan,Midsize,,kaggle_118
Bmw,3 Series,2017,38750,34,Premium Unleaded (Recommended),Automatic,Sedan,Midsize,,kaggle_119
Bmw,3 Series,2017,35450,34,Premium Unleaded (Recommended),Automatic,Sedan,Midsize,,kaggle_120
Bmw,3 Series,2017,33450,35,Premium Unleaded (Recommended),Automatic,Sedan,Midsize,,kaggle_121
Bmw,3 Series,2017,40750,33,Premium Unleaded (Recommended),Automatic,Sedan,Midsize,,kaggle_122
Bmw,3 Series,2017,42250,40,Diesel,Automatic,Sedan,Midsize,,kaggle_123
Bmw,3 Series,2017,42950,33,Premium Unleaded (Recommended),Automatic,Wagon,Midsize,,kaggle_124
Bmw,3 Series,2017,40250,42,Diesel,Automatic,Sedan,Midsize,,kaggle_125
Bmw,3 Series,2017,49900,31,Premium Unleaded (Recommended),Automatic,Sedan,Midsize,,kaggle_126
Bmw,3 Series,2017,47900,32,Premium Unleaded (Recommended),Automatic,Sedan,Midsize,,kaggle_127
Bmw,3 Series,2017,44450,40,Diesel,Automatic,Wagon,Midsize,,kaggle_128
Mercedes-Benz,300-Class,1991,2232,19,Regular Unleaded,Automatic,Sedan,Large,,kaggle_129
Mercedes-Benz,300-Class,1991,2000,20,Regular Unleaded,Automatic,Wagon,Midsize,,kaggle_130
Mercedes-Benz,300-Class,1991,2105,20,Regular Unleaded,Automatic,Sedan,Midsize,,kaggle_131
Mercedes-Benz,300-Class,1991,2199,18,Regular Unleaded,Automatic,Wagon,Midsize,,kaggle_132
Mercedes-Benz,300-Class,1991,2124,19,Regular Unleaded,Automatic,Sedan,Large,,kaggle_133
Mercedes-Benz,300-Class,1991,3552,21,Regular Unleaded,Manual,Convertible,Compact,,kaggle_134
Mercedes-Benz,300-Class,1991,2179,22,Regular Unleaded,Automatic,Coupe,Midsize,,kaggle_135
Mercedes-Benz,300-Class,1992,2000,29,Diesel,Automatic,Sedan,Midsize,,kaggle_136
Mercedes-Benz,300-Class,1992,2377,17,Regular Unleaded,Automatic,Sedan,Large,,kaggle_137
Mercedes-Benz,300-Class,1992,3814,21,Regular Unleaded,Manual,Convertible,Compact,,kaggle_138
Mercedes-Benz,300-Class,1992,2207,19,Regular Unleaded,Automatic,Sedan,Midsize,,kaggle_139
Mercedes-Benz,300-Class,1992,2248,21,Regular Unleaded,Automatic,Coupe,Midsize,,kaggle_140
Mercedes-Benz,300-Class,1992,2065,22,Regular Unleaded,Automatic,Sedan,Midsize,,kaggle_141
Mercedes-Benz,300-Class,1992,2547,22,Diesel,Automatic,Sedan,Large,,kaggle_142
Mercedes-Benz,300-Class,1992,2282,18,Regular Unleaded,Automatic,Wagon,Midsize,,kaggle_143
Mercedes-Benz,300-Class,1993,2544,19,Regular Unleaded,Automatic,Wagon,Midsize,,kaggle_144
Mercedes-Benz,300-Class,1993,2397,22,Regular Unleaded,Automatic,Coupe,Midsize,,kaggle_145
Mercedes-Benz,300-Class,1993,2000,30,Diesel,Automatic,Sedan,Midsize,,kaggle_146
Mercedes-Benz,300-Class,1993,4174,21,Regular Unleaded,Manual,Convertible,Compact,,kaggle_147
Mercedes-Benz,300-Class,1993,2187,22,Regular Unleaded,Automatic,Sedan,Midsize,,kaggle_148
Mercedes-Benz,300-Class,1993,2729,22,Diesel,Automatic,Sedan,Large,,kaggle_149
Mercedes-Benz,300-Class,1993,2433,19,Regular Unleaded,Automatic,Sedan,Midsize,,kaggle_150
Mercedes-Benz,300-Class,1993,2247,23,Regular Unleaded,Automatic,Sedan,Midsize,,kaggle_151
Mercedes-Benz,300-Class,1993,2540,18,Regular Unleaded,Automatic,Sedan,Large,,kaggle_152
Mitsubishi,3000Gt,1997,3941,23,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_153
Mitsubishi,3000Gt,1997,3295,22,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_154
Mitsubishi,3000Gt,1997,6008,22,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_155
Mitsubishi,3000Gt,1998,6710,22,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_156
Mitsubishi,3000Gt,1998,3701,22,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_157
Mitsubishi,3000Gt,1998,4671,23,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_158
Mitsubishi,3000Gt,1999,5306,23,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_159
Mitsubishi,3000Gt,1999,7600,22,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_160
Mitsubishi,3000Gt,1999,4090,22,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_161
Chrysler,300,2015,37570,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_162
Chrysler,300,2015,31695,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_163
Chrysler,300,2015,38070,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_164
Chrysler,300,2015,44895,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_165
Chrysler,300,2015,35070,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_166
Chrysler,300,2015,42395,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_167
Chrysler,300,2015,34195,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_168
Chrysler,300,2015,40570,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_169
Chrysler,300,2016,38095,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_170
Chrysler,300,2016,35595,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_171
Chrysler,300,2016,45190,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_172
Chrysler,300,2016,32260,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_173
Chrysler,300,2016,37755,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_174
Chrysler,300,2016,41055,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_175
Chrysler,300,2016,36090,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_176
Chrysler,300,2016,42690,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_177
Chrysler,300,2016,38555,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_178
Chrysler,300,2016,35255,31,Regular Unleaded,Automatic,Sedan,Large,,kaggle_179
Chrysler,300,2016,38590,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_180
Chrysler,300,2016,34760,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_181
Chrysler,300,2017,41135,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_182
Chrysler,300,2017,45270,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_183
Chrysler,300,2017,38670,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_184
Chrysler,300,2017,38635,30,Regular Unleaded,Automatic,Sedan,Large,,kaggle_185
Chrysler,300,2017,36170,30,Regular Unleaded,Automatic,Sedan,Large,,kaggle_186
Chrysler,300,2017,38175,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_187
Chrysler,300,2017,32340,30,Regular Unleaded,Automatic,Sedan,Large,,kaggle_188
Chrysler,300,2017,42770,30,Regular Unleaded,Automatic,Sedan,Large,,kaggle_189
Chrysler,300,2017,34840,27,Regular Unleaded,Automatic,Sedan,Large,,kaggle_190
Chrysler,300,2017,35675,30,Regular Unleaded,Automatic,Sedan,Large,,kaggle_191
Chrysler,300M,2002,32065,24,Premium Unleaded (Required),Automatic,Sedan,Large,,kaggle_192
Chrysler,300M,2002,28540,24,Premium Unleaded (Required),Automatic,Sedan,Large,,kaggle_193
Chrysler,300M,2003,32315,25,Premium Unleaded (Required),Automatic,Sedan,Large,,kaggle_194
Chrysler,300M,2003,28885,25,Regular Unleaded,Automatic,Sedan,Large,,kaggle_195
Chrysler,300M,2004,29185,25,Regular Unleaded,Automatic,Sedan,Large,,kaggle_196
Chrysler,300M,2004,32615,25,Premium Unleaded (Required),Automatic,Sedan,Large,,kaggle_197
Nissan,300Zx,1994,2847,22,Regular Unleaded,Manual,Convertible,Compact,,kaggle_198
Nissan,300Zx,1994,2488,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_199
Nissan,300Zx,1994,2683,22,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_200
Nissan,300Zx,1994,2553,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_201
Nissan,300Zx,1995,3049,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_202
Nissan,300Zx,1995,2774,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_203
Nissan,300Zx,1995,2702,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_204
Nissan,300Zx,1995,3101,22,Regular Unleaded,Manual,Convertible,Compact,,kaggle_205
Nissan,300Zx,1996,3510,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_206
Nissan,300Zx,1996,3107,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_207
Nissan,300Zx,1996,3624,22,Regular Unleaded,Manual,Convertible,Compact,,kaggle_208
Nissan,300Zx,1996,3185,22,Regular Unleaded,Manual,Coupe,Compact,,kaggle_209
Mazda,323,1992,2000,33,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_210
Mazda,323,1993,2000,33,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_211
Mazda,323,1994,2000,33,Regular Unleaded,Manual,2Dr Hatchback,Compact,,kaggle_212
Mercedes-Benz,350-Class,1990,2144,23,Diesel,Automatic,Sedan,Large,,kaggle_213
Mercedes-Benz,350-Class,1990,2098,23,Diesel,Automatic,Sedan,Large,,kaggle_214
Mercedes-Benz,350-Class,1991,2178,23,Diesel,Automatic,Sedan,Large,,kaggle_215
Mercedes-Benz,350-Class,1991,2311,23,Diesel,Automatic,Sedan,Large,,kaggle_216
Nissan,350Z,2007,36550,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_217
Nissan,350Z,2007,41250,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_218
Nissan,350Z,2007,30600,24,Regular Unleaded,Automatic,Coupe,Compact,,kaggle_219
Nissan,350Z,2007,37100,24,Regular Unleaded,Automatic,Coupe,Compact,,kaggle_220
Nissan,350Z,2007,27900,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_221
Nissan,350Z,2007,32700,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_222
Nissan,350Z,2007,40250,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_223
Nissan,350Z,2007,35550,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_224
Nissan,350Z,2007,36100,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_225
Nissan,350Z,2007,33200,24,Regular Unleaded,Automatic,Coupe,Compact,,kaggle_226
Nissan,350Z,2007,37900,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_227
Nissan,350Z,2007,29600,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_228
Nissan,350Z,2007,38070,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_229
Nissan,350Z,2007,38900,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_230
Nissan,350Z,2008,33840,24,Regular Unleaded,Automatic,Coupe,Compact,,kaggle_231
Nissan,350Z,2008,38630,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_232
Nissan,350Z,2008,39630,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_233
Nissan,350Z,2008,37740,24,Regular Unleaded,Automatic,Coupe,Compact,,kaggle_234
Nissan,350Z,2008,41980,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_235
Nissan,350Z,2008,36280,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_236
Nissan,350Z,2008,36740,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_237
Nissan,350Z,2008,40980,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_238
Nissan,350Z,2008,38680,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_239
Nissan,350Z,2008,28510,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_240
Nissan,350Z,2008,30210,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_241
Nissan,350Z,2008,31210,24,Regular Unleaded,Automatic,Coupe,Compact,,kaggle_242
Nissan,350Z,2008,33340,25,Regular Unleaded,Manual,Coupe,Compact,,kaggle_243
Nissan,350Z,2008,37280,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_244
Nissan,350Z,2009,41570,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_245
Nissan,350Z,2009,36870,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_246
Nissan,350Z,2009,42570,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_247
Nissan,350Z,2009,37870,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_248
Nissan,350Z,2009,39220,24,Regular Unleaded,Manual,Convertible,Compact,,kaggle_249
Nissan,350Z,2009,40220,23,Regular Unleaded,Automatic,Convertible,Compact,,kaggle_250
Ferrari,360,2002,160829,15,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_251
Ferrari,360,2002,140615,15,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_252
Ferrari,360,2002,150694,15,Premium Unleaded (Required),Automated_Manual,Coupe,Compact,,kaggle_253
Ferrari,360,2002,170829,15,Premium Unleaded (Required),Automated_Manual,Convertible,Compact,,kaggle_254
Ferrari,360,2003,165986,15,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_255
Ferrari,360,2003,154090,15,Premium Unleaded (Required),Automated_Manual,Coupe,Compact,,kaggle_256
Ferrari,360,2003,143860,15,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_257
Ferrari,360,2003,176287,15,Premium Unleaded (Required),Automated_Manual,Convertible,Compact,,kaggle_258
Ferrari,360,2004,157767,15,Premium Unleaded (Required),Automated_Manual,Coupe,Compact,,kaggle_259
Ferrari,360,2004,187124,15,Premium Unleaded (Required),Automated_Manual,Coupe,Compact,,kaggle_260
Ferrari,360,2004,147332,15,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_261
Ferrari,360,2004,169900,15,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_262
Ferrari,360,2004,180408,15,Premium Unleaded (Required),Automated_Manual,Convertible,Compact,,kaggle_263
Nissan,370Z,2015,46790,26,Premium Unleaded (Required),Automatic,Coupe,Compact,,kaggle_264
Nissan,370Z,2015,48100,24,Premium Unleaded (Required),Manual,Convertible,Compact,,kaggle_265
Nissan,370Z,2015,29990,26,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_266
Nissan,370Z,2015,41820,25,Premium Unleaded (Required),Automatic,Convertible,Compact,,kaggle_267
Nissan,370Z,2015,31290,26,Premium Unleaded (Required),Automatic,Coupe,Compact,,kaggle_268
Nissan,370Z,2015,34870,26,Premium Unleaded (Required),Automatic,Coupe,Compact,,kaggle_269
Nissan,370Z,2015,33570,26,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_270
Nissan,370Z,2015,46570,25,Premium Unleaded (Required),Automatic,Convertible,Compact,,kaggle_271
Nissan,370Z,2015,37970,26,Premium Unleaded (Required),Manual,Coupe,Compact,,kaggle_272
